path,text,style,emotion
assessment_style/CanYouCopyMe,Mahimo ba nimong sundogon ko?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/CanYouMatchThis,Mahimo ba nimong itugma kini?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/FindTheRightOne,Pangitaa ang husto.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/GoodListening,Maayong pagpaminaw.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/GoodLooking,Maayong pagtan-aw.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/LetSeeWhatYouCanDo,Tan-awon nato kung unsa imong mahimo!,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/LetsTryTheNextTask,Sulayan nato ang sunod nga buluhaton.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/ShowMe,Ipakita kanako.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/WhatComesNext,Unsa'y sunod?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/WhichOneIsTheSame,Asa ang parehas?,"warm, clear, friendly kid's voice, calm pace",neutral
attention_and_regulation/CalmBody,Kalma nga lawas.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/EyesHere,Tan-aw diri.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/GoodCalmingDown,Maayo kang nikalma.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ItsOkay,Okay ra.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/LetsContinue,Padayon ta.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/LetsSlowDown,Hinay-hinay lang ta.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ListenCarefully,Pamati'g maayo.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ReadyAgain,Andam na pag-usab.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/TakeABreath,Ginhawa una.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/YouAreSafe,Luwas ka.,"calm, soft, gentle, reassuring, slow pace",calm
colors/Blue,Asul.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Gold,Bulawan.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Green,Berde.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Magenta,Magenta.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Orange,Kahel.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Pink,Rosas.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Purple,Lila.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Red,Pula.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Teal,Teal.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Yellow,Dalag.,"warm, clear, friendly kid's voice, calm pace",neutral
core_praise/Aumazing,Aumazing!,"happy, warm, cheerful tone",happy
core_praise/Ausome,Ausome!,"happy, warm, cheerful tone",happy
core_praise/Correct,Sakto!,"happy, warm, cheerful tone",happy
core_praise/Excellent,Maayo kaayo!,"happy, warm, cheerful tone",happy
core_praise/GreatJob,Maayo gyud!,"happy, warm, cheerful tone",happy
core_praise/NiceWork,Nindot nga trabaho!,"happy, warm, cheerful tone",happy
core_praise/ThatsRight,Sakto na!,"happy, warm, cheerful tone",happy
