path,text,style,emotion
assessment_style/CanYouCopyMe,Kaya mo ba akong gayahin?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/CanYouMatchThis,Kaya mo ba itong itugma?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/FindTheRightOne,Hanapin ang tama.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/GoodListening,Magaling makinig.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/GoodLooking,Magaling tumingin.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/LetSeeWhatYouCanDo,Tingnan natin ang kaya mong gawin!,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/LetsTryTheNextTask,Subukan natin ang susunod na gawain.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/ShowMe,Ipakita mo sa akin.,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/WhatComesNext,Ano ang susunod?,"warm, clear, friendly kid's voice, calm pace",neutral
assessment_style/WhichOneIsTheSame,Alin ang pareho?,"warm, clear, friendly kid's voice, calm pace",neutral
attention_and_regulation/CalmBody,Kalmadong katawan.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/EyesHere,Tingnan dito.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/GoodCalmingDown,Magaling kang kumalma.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ItsOkay,Okay lang.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/LetsContinue,Magpatuloy tayo.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/LetsSlowDown,Dahan-dahan tayo.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ListenCarefully,Makinig nang mabuti.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/ReadyAgain,Handa na ulit.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/TakeABreath,Huminga muna.,"calm, soft, gentle, reassuring, slow pace",calm
attention_and_regulation/YouAreSafe,Ligtas ka.,"calm, soft, gentle, reassuring, slow pace",calm
colors/Blue,Asul.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Gold,Ginto.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Green,Berde.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Magenta,Magenta.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Orange,Kahel.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Pink,Rosas.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Purple,Lila.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Red,Pula.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Teal,Teal.,"warm, clear, friendly kid's voice, calm pace",neutral
colors/Yellow,Dilaw.,"warm, clear, friendly kid's voice, calm pace",neutral
core_praise/Aumazing,Aumazing!,"happy, warm, cheerful tone",happy
core_praise/Ausome,Ausome!,"happy, warm, cheerful tone",happy
core_praise/Correct,Tama!,"happy, warm, cheerful tone",happy
core_praise/Excellent,Napakagaling!,"happy, warm, cheerful tone",happy
core_praise/GreatJob,Magaling!,"happy, warm, cheerful tone",happy
core_praise/NiceWork,Ang galing ng ginawa mo!,"happy, warm, cheerful tone",happy
core_praise/ThatsRight,Tama iyan!,"happy, warm, cheerful tone",happy
core_praise/VeryGood,Napakahusay!,"happy, warm, cheerful tone",happy
core_praise/WellDone,Mahusay!,"happy, warm, cheerful tone",happy
core_praise/YayYouGotIt,Yehey! Nakuha mo!,"happy, warm, cheerful tone",happy
core_praise/YouDidIt,Nagawa mo!,"happy, warm, cheerful tone",happy
dynamic/DragThe,Hilahin ang,"warm, clear, friendly kid's voice, calm pace",neutral
dynamic/DropThe,Ilagay ang,"warm, clear, friendly kid's voice, calm pace",neutral
dynamic/TapThe,Pindutin ang,"warm, clear, friendly kid's voice, calm pace",neutral
gently_retry/AlmostThere,Konti na lang.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/GiveItAnotherTry,Subukan mo ulit.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/KeepGoing,Ituloy mo lang.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/LetsDoItOneMoreTime,Gawin natin ulit.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/LetsPracticeAgain,Magsanay tayo ulit.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/LetsTryAgain,Subukan natin ulit.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/NiceTry,Magandang subok.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/NotYet,Hindi pa.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/TryAgain,Subukan ulit.,"gentle, encouraging, warm, patient tone",gentle
gently_retry/YouCanDoIt,Kaya mo 'yan.,"gentle, encouraging, warm, patient tone",gentle
instruction/ChooseOne,Pumili ng isa.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/CopyMe,Gayahin mo ako.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/CountWithMe,Magbilang tayo.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/DragIt,Hilahin mo.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/FindTheSame,Hanapin ang pareho.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/FollowMe,Sundan mo ako.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/GiveTheDeviceToYourParent,Ibigay mo na ang gadget sa magulang mo.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/LetsBegin,Magsimula na tayo.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/Listen,Makinig ka.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/MatchIt,Itugma mo.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/MyTurn,Ako naman.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/PickTheColor,Piliin ang kulay.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/PickTheShape,Piliin ang hugis.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/TapHere,Pindutin dito.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/TouchThePicture,Pindutin ang larawan.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/WatchCarefully,Panoorin nang mabuti.,"warm, clear, friendly kid's voice, calm pace",neutral
instruction/YourTurn,Ikaw naman!,"warm, clear, friendly kid's voice, calm pace",neutral
items/Biskwit,Biskwit.,"warm, clear, friendly kid's voice, calm pace",neutral
