overall_accuracy,overall_avg_response_time,overall_task_completion_rate,overall_retry_count,overall_hint_count,overall_prompt_dependency_score,overall_idle_time_seconds,overall_invalid_touch_count,copy_me_accuracy,match_it_accuracy,my_turn_your_turn_accuracy,do_what_i_say_accuracy,communication_level,social_level,play_level,attention_level
0.3352,5.9302,0.3808,1,6,0.0283,45,2,0.6255,0.0725,0.2975,0.2509,1,0,0,1
0.3416,9.9611,0.4169,2,2,0.6632,40,0,0.0739,0.229,0.6349,0.5404,0,1,0,0
0.4185,7.1304,0.4347,2,6,0.9245,40,15,0.9115,0.3529,0.1335,0.137,1,0,0,0
0.72,2.3378,0.611,0,2,0.2212,11,6,0.7965,0.6067,0.8255,0.5696,1,2,1,2
0.3822,3.297,0.5397,1,4,0.6927,32,12,0.6221,0.3783,0.3832,0.2386,1,0,0,0
0.7303,4.8123,0.79,1,8,0.2544,11,1,0.9406,0.626,0.5513,0.6662,2,1,1,2
0.5959,7.3944,0.5692,3,8,0.2496,13,5,0.8387,0.3332,0.6399,0.4061,1,1,0,2
0.4874,9.8168,0.4401,0,4,0.4011,5,13,0.4095,0.2474,0.9478,0.5086,1,2,0,1
0.7565,4.3017,0.8855,0,3,0.6089,34,11,0.9465,0.5262,0.924,0.8247,2,2,1,0
0.6231,4.6337,0.5677,3,1,0.607,46,17,0.4584,0.9084,0.8383,0.2871,0,2,2,0
0.5875,10.7266,0.6185,2,1,0.7901,1,19,0.7363,0.5354,0.7508,0.5273,1,2,1,0
0.5462,6.4905,0.6794,1,8,0.5223,38,3,0.8402,0.9023,0.1271,0.4874,1,0,2,0
0.4485,6.1001,0.4564,1,2,0.4917,50,13,0.4308,0.2406,0.5354,0.7069,1,1,0,0
0.3169,10.5262,0.4176,1,7,0.0673,11,18,0.3543,0.5795,0.2571,0.2482,0,0,1,1
0.4642,2.5178,0.5631,2,5,0.4095,40,4,0.2428,0.1691,0.892,0.5639,1,2,0,2
0.5994,3.4972,0.594,2,2,0.4262,43,5,0.7062,0.656,0.9357,0.1386,1,2,1,2
0.6125,11.6745,0.5201,4,1,0.88,50,17,0.2748,0.8809,0.4488,0.8252,1,1,2,0
0.2987,6.2776,0.4571,6,11,0.4019,13,16,0.4871,0.2424,0.4109,0.1028,0,1,0,1
0.4851,2.1002,0.4831,3,9,0.555,27,15,0.5502,0.6966,0.1893,0.317,1,0,1,0
0.3709,10.848,0.4302,4,7,0.2339,12,2,0.1917,0.9147,0.1221,0.2172,0,0,2,2
0.574,8.5527,0.6826,2,7,0.285,12,8,0.4273,0.5753,0.5205,0.8912,1,1,1,1
0.5756,10.7491,0.5715,2,1,0.8353,13,19,0.1153,0.4625,0.9486,0.9465,1,2,1,0
0.771,8.4656,0.6576,1,1,0.892,41,6,0.8004,0.6832,0.6005,0.9385,2,1,1,0
0.4177,6.6296,0.3468,5,1,0.8601,32,5,0.1463,0.5479,0.2951,0.5943,0,0,1,0
0.3956,5.9907,0.3473,0,10,0.0092,37,11,0.4312,0.299,0.0532,0.744,1,0,0,0
0.6598,9.8593,0.6268,4,2,0.8177,15,18,0.8635,0.541,0.8011,0.5743,2,2,1,0
0.4944,10.5784,0.5589,5,9,0.9274,8,19,0.2746,0.1425,0.7521,0.8457,1,2,0,0
0.5357,9.7674,0.6215,5,8,0.1027,41,5,0.0723,0.7129,0.349,0.8877,1,0,2,1
0.4856,4.9468,0.4129,6,3,0.8211,1,4,0.2502,0.7849,0.4643,0.3247,0,1,2,2
0.6696,11.6066,0.5545,1,4,0.2522,49,4,0.6273,0.4097,0.933,0.5326,1,2,1,1
0.5245,1.5178,0.5801,3,7,0.8793,13,14,0.7057,0.3323,0.5956,0.5103,1,1,0,1
0.482,9.0574,0.4481,2,4,0.2853,16,17,0.7178,0.6536,0.3778,0.113,1,0,1,0
0.3744,4.66,0.3997,0,3,0.5205,45,12,0.4122,0.3161,0.1646,0.4284,1,0,0,0
0.5234,9.8583,0.4826,0,5,0.1612,24,18,0.4369,0.572,0.6392,0.4685,1,1,1,0
0.6383,4.0708,0.5771,4,1,0.4514,10,0,0.6196,0.3517,0.7866,0.726,1,2,0,2
0.4848,9.3851,0.4464,1,4,0.7315,33,0,0.423,0.6168,0.225,0.6767,1,0,1,0
0.4079,8.5096,0.5451,4,10,0.9385,23,16,0.2083,0.9122,0.5162,0.0952,0,1,2,0
0.6969,6.4841,0.7008,1,5,0.2462,45,15,0.8523,0.6014,0.6973,0.5043,1,1,1,0
0.5001,7.1716,0.5138,1,7,0.1315,14,6,0.7392,0.5192,0.6141,0.2971,1,1,1,2
0.4288,7.6328,0.3889,5,8,0.6607,21,18,0.6858,0.1078,0.4168,0.5384,1,1,0,0
0.4209,7.2344,0.5239,1,2,0.5731,21,15,0.3923,0.0553,0.3666,0.7281,1,0,0,0
0.3735,8.0337,0.3243,2,6,0.0256,23,3,0.4423,0.0761,0.3525,0.6612,1,0,0,1
0.2902,9.4929,0.3299,5,9,0.3602,11,7,0.0744,0.6285,0.1721,0.4655,0,0,1,1
0.3009,8.3434,0.2384,6,2,0.7165,33,16,0.277,0.1237,0.0674,0.5355,1,0,0,0
0.2743,3.2618,0.2224,5,1,0.5769,35,15,0.0683,0.1871,0.1636,0.6525,0,0,0,0
0.4627,9.0077,0.5508,4,6,0.0722,48,8,0.7874,0.9182,0.1473,0.0731,1,0,2,0
0.5353,5.998,0.7191,3,3,0.352,39,7,0.1417,0.7452,0.8153,0.5904,0,2,2,0
0.6797,9.2049,0.7733,1,7,0.9172,35,9,0.8146,0.7901,0.145,0.9147,2,0,2,0
0.5192,10.7571,0.6553,3,6,0.2317,42,2,0.5344,0.4851,0.442,0.7079,1,1,1,1
0.3453,8.8624,0.4736,0,10,0.2625,17,18,0.3911,0.0758,0.8159,0.2137,0,2,0,0
0.5309,2.4771,0.5733,4,3,0.2105,25,16,0.1271,0.6981,0.4897,0.7323,1,1,1,1
0.5271,4.1397,0.4852,1,1,0.1146,35,5,0.5734,0.4759,0.5278,0.433,1,1,1,2
0.4308,4.4715,0.5135,1,2,0.0955,49,10,0.5323,0.736,0.2166,0.2447,0,0,2,1
0.3229,10.6188,0.3138,6,7,0.4663,35,3,0.2115,0.0627,0.5307,0.2969,0,1,0,1
0.3519,2.2779,0.3272,0,2,0.598,41,8,0.4725,0.4464,0.2159,0.0962,0,0,1,0
0.5217,6.987,0.5469,2,8,0.428,40,5,0.5566,0.3235,0.9445,0.1566,0,2,0,1
0.6424,8.4345,0.7552,1,1,0.1492,10,4,0.941,0.3248,0.6089,0.5987,2,1,0,2
0.3242,8.7175,0.4278,5,7,0.8777,35,9,0.0524,0.4555,0.5844,0.3121,0,1,1,0
0.6418,3.2422,0.7541,4,5,0.2922,41,1,0.6451,0.8903,0.4326,0.5401,1,1,2,2
0.4996,1.9185,0.4804,2,3,0.4104,25,2,0.3097,0.1619,0.6698,0.6798,1,1,0,2
0.6496,1.9224,0.7544,2,6,0.7185,34,5,0.1322,0.9157,0.8024,0.5677,0,2,2,1
0.5706,8.5364,0.4943,2,6,0.8148,17,7,0.8745,0.2133,0.5768,0.6213,2,1,0,0
0.6298,5.7438,0.613,5,6,0.4889,16,19,0.3094,0.9007,0.7822,0.5451,1,2,2,0
0.4143,7.2668,0.445,3,7,0.8813,38,4,0.5383,0.4219,0.2188,0.3756,1,0,1,0
0.453,11.9187,0.5248,3,1,0.8673,28,2,0.1593,0.9258,0.598,0.2654,0,1,2,0
0.6024,7.2883,0.7338,5,4,0.3644,49,5,0.7989,0.4985,0.6949,0.508,1,1,1,1
0.6736,4.4698,0.8157,3,8,0.2836,25,16,0.8414,0.8276,0.2986,0.761,2,0,2,1
0.3976,3.4808,0.4283,3,2,0.6626,23,6,0.4907,0.1837,0.5347,0.3606,1,1,0,1
0.5917,11.7986,0.5571,0,5,0.4706,33,16,0.748,0.0893,0.7202,0.6847,2,2,0,0
0.6768,8.3752,0.6885,2,8,0.1466,36,8,0.5812,0.8327,0.8368,0.4463,1,2,2,0
0.6551,9.0465,0.7347,4,0,0.7214,19,6,0.3547,0.6734,0.6349,0.8166,1,1,1,0
0.6637,10.6621,0.6475,3,8,0.4215,5,13,0.1116,0.618,0.8788,0.9477,1,2,1,1
0.3544,3.2848,0.4226,5,7,0.075,28,16,0.0914,0.7665,0.314,0.3874,0,0,2,1
0.4209,10.9627,0.4093,1,5,0.6437,0,16,0.2667,0.8715,0.1788,0.465,0,0,2,0
0.4742,6.5737,0.6105,3,6,0.2253,10,8,0.361,0.5788,0.625,0.4319,0,1,1,1
0.6854,2.015,0.7494,2,7,0.5761,34,15,0.9434,0.3157,0.9302,0.6424,2,2,0,0
0.5237,8.4214,0.5652,3,9,0.7964,34,14,0.3076,0.769,0.5964,0.3671,0,1,2,0
0.5177,3.3442,0.417,3,10,0.1256,15,15,0.6317,0.328,0.4467,0.5716,1,1,0,2
0.6521,5.0565,0.6401,5,1,0.1094,40,15,0.5278,0.8721,0.7974,0.2813,1,2,2,0
0.8912,1.6461,0.9456,2,5,0.5097,18,16,0.9199,0.8241,0.7018,0.9319,2,2,2,0
0.6903,7.3948,0.6879,1,0,0.8695,1,18,0.6551,0.5761,0.7902,0.8963,2,2,1,0
